ID,Feature / Task,Phase,Category,Priority (P0-P3),Complexity (S/M/L),Est Hours,User Story / Description,Why It Matters (Sports Science / UX),Competitors Who Do This,Dreamy Differentiation Angle,Diff Score (1-10),Dependencies,Status,Strava API Needed,Notes
D-110,Transparent training load dashboard — show the math,NEW,Performance Model,P1,L,8,"Display CTL/ATL/TSB with customizable time constants, visible formulas, adjustable TRIMP models",Black-box scores destroy trust. Transparent models build expert users who evangelize.,"TrainingPeaks (TSS/PMC), Intervals.icu (customizable), Runalyze (TRIMP), Elevate (free CTL/ATL/TSB)",Show the math AND explain it in plain English — nobody does both,9,,TODO,No,Biggest whitespace per all 3 research sources
D-111,Auto-detected threshold from workout data (no lab test needed),NEW,Performance Model,P1,L,8,Estimate lactate threshold from workout HR/pace data patterns — DFA alpha-1 or heart rate deflection,Lactate threshold is the most important training anchor. Lab tests cost $200+ and require clinic visits.,"AI Endurance (DFA alpha-1), Garmin (HR deflection), COROS (HR-pace relationship), Xert (automatic FTP)",Auto-detect AND explain to user why threshold changed,9,,TODO,No,AI Endurance pioneered this; massive differentiator
D-112,Personalized recovery model — learns YOUR physiology,NEW,Recovery,P1,L,8,"Track how YOUR body responds to different training loads, not population averages",Individual recovery rates vary 3-5x between athletes. Population models are wildly wrong for edge cases.,"AI Endurance (unique: learns individual response), WHOOP (partially personalized), Morpheus (recovery-shifted zones)",Recovery model that improves over months of data,9,,TODO,No,Requires 6-8 weeks of data to calibrate
D-113,Lifestyle-performance correlation engine,NEW,Analytics,P1,M,6,"'Your tempo pace improves 2% when you sleep 8+ hours', 'Alcohol night before correlates with 15s/mi slower easy runs'",Connecting lifestyle inputs to training outputs is THE most asked coaching question,WHOOP Journal does basic correlation; nobody connects lifestyle to running-specific outcomes,Multi-factor correlation with running-specific context,10,"D-094,D-103",TODO,No,Requires sleep+wellness data import
D-114,Aerobic decoupling tracking (Pa:HR drift),NEW,Analytics,P1,M,4,Track cardiac drift in second half of easy/long runs as aerobic fitness indicator,Decoupling >5% = aerobic base not big enough — actionable coaching signal,"TrainingPeaks (Pw:HR), Intervals.icu (decoupling analysis), WKO5",Plain English explanation: 'Your heart worked 8% harder in the second half — more easy miles needed',7,,TODO,No,
D-115,Interval auto-detection + scoring,NEW,Analytics,P1,M,4,"Algorithmically detect intervals without lap button, then score consistency/recovery/target accuracy",Most runners forget to press lap; interval quality data gets lost,Intervals.icu is the gold standard here; nobody else does it well,AI scores intervals AND feeds back into plan adjustment,7,,TODO,No,
D-116,Heat acclimation protocol tracking,NEW,Environment,P1,M,6,Track cumulative heat exposure and adaptation progress over 10-14 day protocol,Heat acclimation (plasma volume expansion) is the single biggest legal performance enhancer for summer racing,Garmin has heat acclimation status; CORE sensor measures core temp,Guided protocol with progress tracking is unique,7,,TODO,No,
D-117,Altitude adjustment for pace/performance,NEW,Environment,P1,M,4,Normalize performances across different elevations; predict sea-level equivalents,A 20:00 5K at 6000ft ≈ 19:15 at sea level — context matters hugely,"V.O2 has altitude conversion, Runalyze has corrections",Automatic adjustment based on GPS elevation data,5,,TODO,No,
D-118,Race execution analysis + replay,NEW,Race Analysis,P0,L,8,"Deep split analysis: pacing strategy grade, comparison to plan, environmental factors, what-if scenarios",The #1 post-race question: 'What happened and what should I do differently?',Metathon does basic marathon analysis; Strava shows splits but no grading,AI grades your race execution and suggests specific pacing changes for next race,9,"D-023,D-024",TODO,No,
D-119,AI chat coach with FULL training context awareness,NEW,Coach AI,P0,L,10,"Ask questions, get answers that reference YOUR actual data, history, patterns, and upcoming plan",The ultimate differentiator: AI coaching that's as informed as a human coach who's reviewed your entire training log,No tool has an AI coach that actually knows your full data history,DREAMY'S CORE VALUE PROPOSITION — this is WHY users choose Dreamy over everything else,10,,TODO,No,Already partially built; this is about deepening context
D-120,Recovery-adjusted training zones (shift daily based on readiness),NEW,Recovery,P1,M,4,HR zones shift based on recovery status — your Zone 2 ceiling is lower when fatigued,Static zones assume you're always fresh. Daily zone adjustment prevents overtraining.,Morpheus (unique: daily shifting zones based on HRV recovery),Dynamic zones with explanation: 'Zone 2 ceiling lowered today because HRV is down 12%',8,,TODO,No,Requires HRV/readiness input
D-121,Real-time form degradation detection during runs/races,NEW,Form Analysis,P1,M,6,"Track cadence drop, GCT increase, stride length shortening as fatigue proxy during the run",Form breakdown is the first sign of pacing problems — catching it early saves races,Garmin shows running dynamics but doesn't flag degradation; Stryd shows form changes,AI explanation: 'Your cadence dropped 6% at mile 18 — this pattern preceded your wall at mile 22 last time',9,D-055,TODO,No,
D-122,Training plan adapts to BOTH biometrics AND life context,NEW,Planning,P1,L,8,"Integrate calendar (busy week), travel (altitude/timezone), sleep quality, social context into plan adjustments",Most adaptive plans react only to workout data. Real coaching considers the whole person.,2PEAK uses time-budget; nobody integrates life context,The most holistic adaptive planning in the market,10,"D-033,D-094",TODO,No,
D-123,Race fueling calculator,NEW,Nutrition,P2,M,4,"Calculate carb/fluid requirements based on pace, duration, weather, body weight for a specific race",Bonking (glycogen depletion) is the most common race failure mode — avoidable with proper fueling,"Precision Hydration (sweat test), MyMottiv (nutrition calculator), EatMyRide","Personalized fueling plan for YOUR race, not generic guidelines",6,,TODO,No,
D-124,Unified strength + endurance load quantification,NEW,Strength,P1,L,8,A heavy squat session should contribute to fatigue score so run plan adjusts tomorrow,The 'strength-endurance bridge' is the #1 whitespace identified across all research sources,TrainingPeaks handles multi-sport but not gym; Wahoo SYSTM includes yoga/strength but cycling-focused,Single systemic stress score combining running and strength — nobody does this well,10,,TODO,No,"Huge opportunity for hybrid athletes (Hyrox, CrossFit Endurance)"
D-125,File fidelity validation + source-of-truth selection,NEW,Data Quality,P1,M,6,Detect when Strava-imported files lose power/laps; prefer Garmin originals; warn about data gaps,Silent data corruption undermines all downstream analytics,Intervals.icu explicitly warns about Strava API constraints; nobody else surfaces data quality,Transparency about data quality builds trust with data-savvy users,8,,TODO,No,
D-126,"Coach-athlete platform — manage athletes, shared calendar, chat",NEW,Coach,P2,L,8,"Multi-athlete management with AI doing analytical grunt work, human coach adds wisdom",Coach platform creates B2B revenue stream and network effects,"TrainingPeaks (dominant), Final Surge (free tier), Intervals.icu (coach features)","AI handles analysis, human handles relationship — best of both worlds",7,,TODO,No,
D-127,Custom alerts/rules engine,NEW,Alerts,P1,M,4,"Alerts when training load exceeds threshold, HRV drops below baseline, ramp rate too high",Proactive alerts prevent injury and overtraining — the most valuable coaching intervention,Intervals.icu has some alerting; myTrainingForecast does injury risk alerts,AI-contextualized alerts: not just 'load is high' but 'load is high AND you slept poorly — consider skipping today',8,,TODO,No,
D-128,Training block summary — end-of-block report card,NEW,Analytics,P2,M,4,"At end of a training block: what adaptations occurred, compliance %, key improvements, areas for growth",Periodic reflection drives learning and motivation,Nobody generates block-level summaries automatically,AI-written narrative of your training block story,7,,TODO,No,
D-129,'Data gap detector' with fallback load logic,NEW,Data Pipeline,P2,M,4,"If a run is missing HR or power, still maintain coherent load history using fallback models",Missing data shouldn't create holes in longitudinal analytics,Polar handles missing sensors gracefully,Transparent fallback with confidence flags,6,,TODO,No,
D-130,"'Explain the model' UI per metric — inputs, constants, time windows",NEW,Visualization,P2,M,4,"For every metric, a expandable section showing exactly how it's calculated",Transparency is the antidote to black-box fatigue — and a trust moat,Runalyze documents formulas in help docs; nobody shows math inline,Click any metric → see the formula → builds expert users who trust and evangelize,9,,TODO,No,
D-131,"Plan compliance score — intent-aware, not just completion",NEW,Gamification,P2,S,3,Did you execute the POINT of the week? Not just 'did you run 5 days',Intensity compliance matters more than volume compliance,TrainingPeaks has compliance coloring; Intervals.icu has fuzzy matching,Intent-aware: 'You hit 100% of mileage but missed all tempo targets',7,D-027,TODO,No,
D-132,Menstrual cycle-adjusted training recommendations,NEW,Female Physiology,P2,L,6,"Adjust readiness, training intensity, and recovery expectations by cycle phase",Female athletes are systematically underserved by training apps that ignore hormonal variation,"Wild.ai, FitrWoman — but no mainstream running app does this",Mainstream integration of female physiology — not a separate 'women's app',8,,TODO,No,Growing market demand
D-133,Morning readiness score — HRV + sleep + subjective feel,NEW,Analytics,P2,M,4,Morning check-in that combines objective metrics with subjective feel,The moment of highest coaching value: 'Should I train hard today?',"WHOOP recovery, Oura readiness, HRV4Training morning readiness, Garmin Training Readiness",Transparent model (not black box) with training-specific recommendation,6,,TODO,No,Requires HRV/sleep data
D-134,Community benchmarks — anonymous comparison to similar runners,NEW,Sharing,P2,M,4,See how your training metrics compare to runners with similar goals/experience,Context makes metrics meaningful: 'Your VDOT is in the 75th percentile for first-time marathoners',Strava does age/weight comparison on segments; nobody does training metric benchmarking,Anonymous aggregation for privacy,7,,TODO,No,Requires user base to be meaningful
D-135,Baseline calibration flow — guided assessment run,NEW,Onboarding,P1,M,4,"Guide new users through a calibration run to initialize VDOT, threshold, and zones accurately",Better initial data → better models → better coaching from Day 1,COROS EvoLab requires 25-min uninterrupted run to unlock; nobody makes it a guided experience,Onboarding experience that doubles as first coaching moment,6,,TODO,No,
D-136,Intervals.icu deep integration — two-way sync,NEW,Integration,P2,M,4,"Import wellness data, export planned workouts, sync analysis",Intervals.icu is the power user's platform — integrating captures data-nerd segment,Intervals.icu has open API + wellness writes + API cookbook,Best-of-both: Dreamy coaching + Intervals.icu analytics,5,,TODO,No,Already partially built
